TimeStamps,X,Y,Z,,Mag.
2018-07-04T12:09:25.109207,-0.383,-0.327,-0.194,6,0.539679535
2018-07-04T12:09:25.158841,-1.332,-0.249,0.438,6,1.424102875
2018-07-04T12:09:25.201457,-1.332,-0.249,0.438,6,1.424102875
2018-07-04T12:09:25.248585,-1.559,-0.093,0.609,6,1.676308742
2018-07-04T12:09:25.295713,-0.92,-0.243,-0.307,6,0.999848989
2018-07-04T12:09:25.342339,-0.92,-0.243,-0.307,6,0.999848989
2018-07-04T12:09:25.389467,-0.818,-0.13,-0.388,6,0.914640913
2018-07-04T12:09:25.439604,-0.818,-0.13,-0.388,6,0.914640913
2018-07-04T12:09:25.483724,-1.086,-0.104,-0.033,6,1.091467361
2018-07-04T12:09:25.529848,-0.951,-0.116,-0.12,6,0.965534567
2018-07-04T12:09:25.578479,-0.951,-0.116,-0.12,6,0.965534567
2018-07-04T12:09:25.623101,-0.946,-0.194,-0.17,6,0.980536588
2018-07-04T12:09:25.689279,-0.97,-0.359,-0.037,6,1.034963767
2018-07-04T12:09:25.764985,-1.133,-0.143,-0.034,6,1.142494639
2018-07-04T12:09:25.811611,-1.133,-0.143,-0.034,6,1.142494639
2018-07-04T12:09:25.894335,-1.436,-0.012,0.234,6,1.454990034
2018-07-04T12:09:25.936951,-1.465,-0.072,-0.227,6,1.484229767
2018-07-04T12:09:25.983577,-1.465,-0.072,-0.227,6,1.484229767
2018-07-04T12:09:26.030705,-1.316,0.057,-0.516,6,1.414694667
2018-07-04T12:09:26.082847,-0.824,-0.226,-0.206,6,0.878912965
2018-07-04T12:09:26.123456,-0.824,-0.226,-0.206,6,0.878912965
2018-07-04T12:09:26.170083,-0.446,-0.245,-0.151,6,0.530793745
2018-07-04T12:04:38.152032,-1.006,0.257,0.06,1,1.040040865
2018-07-04T12:04:38.195648,-1.006,0.257,0.06,1,1.040040865
2018-07-04T12:04:38.249292,-0.96,0.288,0.08,1,1.00545711
2018-07-04T12:04:38.296919,-0.96,0.288,0.08,1,1.00545711
2018-07-04T12:04:38.339031,-0.971,0.275,0.09,1,1.013195934
2018-07-04T12:04:38.389667,-0.971,0.307,0.085,1,1.021917316
2018-07-04T12:04:38.433284,-0.971,0.307,0.085,1,1.021917316
2018-07-04T12:04:38.477903,-0.97,0.295,0.079,1,1.016939526
2018-07-04T12:04:38.540069,-0.969,0.247,0.079,1,1.003100693
2018-07-04T12:04:38.587195,-0.969,0.247,0.079,1,1.003100693
2018-07-04T12:04:38.634822,-0.997,0.23,0.077,1,1.026078944
2018-07-04T12:04:38.680945,-0.997,0.23,0.077,1,1.026078944
2018-07-04T12:04:38.728071,-0.99,0.192,0.08,1,1.011614551
2018-07-04T12:04:38.772191,-0.99,0.192,0.08,1,1.011614551
2018-07-04T12:04:38.829345,-1.026,0.124,0.147,1,1.043868287
2018-07-04T12:04:38.883496,-1.19,0.007,0.034,1,1.190506195
2018-07-04T12:04:38.929620,-1.19,0.007,0.034,1,1.190506195
2018-07-04T12:04:38.978251,-0.814,0.352,-0.101,1,0.892581089
2018-07-04T12:04:39.024890,-0.526,0.708,0.071,1,0.884862136
2018-07-04T12:04:39.072015,-0.526,0.708,0.071,1,0.884862136
2018-07-04T12:04:39.126711,-0.676,0.549,0.286,1,0.916609513
2018-07-04T12:04:39.184365,-0.894,0.305,0.382,1,1.018913637
2018-07-04T12:04:39.227481,-0.894,0.305,0.382,1,1.018913637
2018-07-04T12:04:39.276612,-0.65,0.536,0.409,1,0.936523892
2018-07-04T12:04:39.326245,-0.394,0.394,0.375,1,0.671637551
2018-07-04T12:04:39.368357,-0.394,0.394,0.375,1,0.671637551
2018-07-04T12:04:39.474140,-0.289,-0.326,0.044,1,0.437873269
2018-07-04T12:04:39.523772,-0.491,-0.765,-0.218,1,0.934788746
2018-07-04T12:04:39.570482,-0.685,-1.572,-0.228,1,1.729853462
2018-07-04T12:04:39.618610,-0.685,-1.572,-0.228,1,1.729853462
2018-07-04T12:04:39.662728,-0.458,-2.331,-0.729,1,2.484907644
2018-07-04T12:04:39.711860,-0.458,-2.331,-0.729,1,2.484907644
2018-07-04T12:04:39.770516,0.309,-2.221,-0.342,1,2.268322288
2018-07-04T12:04:39.820149,0.06,-0.553,-0.117,1,0.5684171
2018-07-04T12:04:39.867825,0.06,-0.553,-0.117,1,0.5684171
2018-07-04T12:04:39.917067,0.17,0.08,-0.154,1,0.242932089
2018-07-04T12:04:39.977228,0.043,-0.339,0.007,1,0.341787946
2018-07-04T12:04:40.023852,0.043,-0.339,0.007,1,0.341787946
2018-07-04T12:04:40.083011,-0.126,-1.383,-0.349,1,1.431909913
2018-07-04T12:04:40.135651,-0.166,-1.159,-0.858,1,1.451551239
2018-07-04T12:04:40.180772,-0.166,-1.159,-0.858,1,1.451551239
2018-07-04T12:04:40.229903,-0.355,-0.936,-0.845,1,1.310017557
2018-07-04T12:04:40.274523,-0.193,-0.706,-0.64,1,0.972257682
2018-07-04T12:04:40.320646,-0.193,-0.706,-0.64,1,0.972257682
2018-07-04T12:04:40.371782,-0.285,-0.611,-0.245,1,0.717336044
2018-07-04T12:04:40.412892,-0.285,-0.611,-0.245,1,0.717336044
2018-07-04T12:04:40.477565,-0.419,-0.789,-0.399,1,0.978408401
2018-07-04T12:04:40.525694,-0.371,-0.901,-0.507,1,1.098403842
2018-07-04T12:04:40.570313,-0.371,-0.901,-0.507,1,1.098403842
2018-07-04T12:04:40.617940,-0.335,-0.875,-0.533,1,1.077932744
2018-07-04T12:04:40.670581,-0.292,-0.78,-0.345,1,0.901492651
2018-07-04T12:04:40.712693,-0.292,-0.78,-0.345,1,0.901492651
2018-07-04T12:11:29.166668,-0.533,-0.026,0.208,6,0.57273816
2018-07-04T12:11:29.229839,-1.512,0.011,0.705,6,1.668319514
2018-07-04T12:11:29.285991,-1.321,-0.429,0.337,6,1.42921342
2018-07-04T12:11:29.332116,-1.321,-0.429,0.337,6,1.42921342
2018-07-04T12:11:29.380246,-0.891,0.288,-0.332,6,0.993503397
2018-07-04T12:11:29.427876,-0.933,-0.063,-0.228,6,0.962518571
2018-07-04T12:11:29.476006,-0.933,-0.063,-0.228,6,0.962518571
2018-07-04T12:11:29.581792,-0.994,-0.052,-0.092,6,0.999601921
2018-07-04T12:11:29.635939,-0.994,-0.052,-0.092,6,0.999601921
2018-07-04T12:11:29.683067,-0.924,-0.147,-0.188,6,0.954321225
2018-07-04T12:11:29.728189,-0.924,-0.147,-0.188,6,0.954321225
2018-07-04T12:11:29.768799,-1.001,-0.293,-0.033,6,1.0435224
2018-07-04T12:11:29.818434,-1.109,-0.014,-0.152,6,1.119455671
2018-07-04T12:11:29.884613,-1.109,-0.014,-0.152,6,1.119455671
2018-07-04T12:11:29.927229,-1.322,0.117,-0.003,6,1.327170675
2018-07-04T12:11:30.012460,-1.381,-0.092,0.121,6,1.389340131
2018-07-04T12:11:30.070618,-1.301,-0.112,-0.396,6,1.364536918
2018-07-04T12:11:30.114235,-1.301,-0.112,-0.396,6,1.364536918
2018-07-04T12:11:30.161865,-1.141,0.035,-0.328,6,1.187724716
2018-07-04T12:11:30.217516,-0.747,-0.177,-0.223,6,0.799416662
2018-07-04T12:11:30.271161,-0.747,-0.177,-0.223,6,0.799416662
2018-07-04T12:11:30.318790,-0.596,-0.336,-0.204,6,0.713952379
2018-07-04T12:11:30.366921,-0.766,-0.382,0.213,6,0.882070859
2018-07-04T12:11:30.412043,-0.766,-0.382,0.213,6,0.882070859
2018-07-04T12:11:30.461678,-1.694,0.323,0.834,6,1.915599384
2018-07-04T12:11:30.511312,-1.694,0.323,0.834,6,1.915599384
2018-07-04T12:11:30.555933,-0.964,-0.187,-0.244,6,1.011830519
2018-07-04T12:11:30.598048,-0.902,-0.187,-0.032,6,0.921735862
2018-07-04T12:11:30.649186,-0.902,-0.187,-0.032,6,0.921735862
2018-07-04T12:11:30.692804,-1.029,0.16,-0.244,6,1.069568605
2018-07-04T12:11:30.739932,-1.029,0.16,-0.244,6,1.069568605
2018-07-04T12:11:30.815679,-1.015,-0.205,-0.132,6,1.043874514
2018-07-04T12:11:30.880354,-0.935,-0.229,-0.133,6,0.971779296
2018-07-04T12:11:30.927983,-0.936,-0.105,-0.101,6,0.947270817
2018-07-04T12:11:30.976114,-0.936,-0.105,-0.101,6,0.947270817
2018-07-04T12:11:31.037780,-1.042,-0.263,-0.058,6,1.076242073
2018-07-04T12:11:31.086412,-1.167,-0.083,-0.077,6,1.172478998
2018-07-04T12:11:31.143066,-1.167,-0.083,-0.077,6,1.172478998
2018-07-04T12:11:31.192700,-1.38,-0.033,0.276,6,1.407716236
2018-07-04T12:11:31.238825,-1.401,0.118,-0.086,6,1.4085883
2018-07-04T12:04:56.622591,-0.937,0.377,0.122,1,1.017340651
2018-07-04T12:04:56.669216,-0.937,0.377,0.122,1,1.017340651
2018-07-04T12:04:56.727872,-0.938,0.349,0.097,1,1.00551181
2018-07-04T12:04:56.778510,-0.958,0.333,0.089,1,1.018122782
2018-07-04T12:04:56.822627,-0.958,0.333,0.089,1,1.018122782
2018-07-04T12:04:56.868254,-0.97,0.32,0.091,1,1.025466235
2018-07-04T12:04:56.916383,-1.07,0.293,0.125,1,1.116411215
2018-07-04T12:04:56.961508,-1.07,0.293,0.125,1,1.116411215
